OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageFinish,KitchenQual,BsmtQual,ExterQual,Predicted_Price
5,25.54845206171849,1.0,730.0,882.0,29.910124788266067,1,5,1961,1961,2,16.049574940745757,11.204495012747543,43.24625678898149,146542.25
6,33.30824067468568,1.0,312.0,1329.0,39.783673423082526,1,6,1958,1958,2,7.08229763200546,11.204495012747543,43.24625678898149,155141.4
5,37.41191318866816,2.0,482.0,928.0,30.78235063930749,2,6,1997,1998,0,16.049574940745757,5.407762715750125,43.24625678898149,185091.42
6,37.095430133647945,2.0,470.0,926.0,30.72875833487639,2,7,1998,1998,0,7.08229763200546,11.204495012747543,43.24625678898149,224564.14
8,32.56294568742145,2.0,506.0,1280.0,38.825647652117816,2,5,1992,1992,1,7.08229763200546,5.407762715750125,14.923808477528233,260915.5
6,37.73685938336228,2.0,440.0,763.0,25.87707680091988,2,7,1993,1994,0,16.049574940745757,5.407762715750125,43.24625678898149,222683.6
6,31.07429212453496,2.0,420.0,1168.0,36.91795483610602,2,6,1992,2007,0,16.049574940745757,5.407762715750125,43.24625678898149,196592.915
6,35.257024211335064,2.0,393.0,789.0,26.726503862860543,2,7,1998,1998,0,16.049574940745757,5.407762715750125,43.24625678898149,198356.3
7,33.48702909741504,2.0,506.0,1300.0,40.01377934755111,1,5,1990,1990,2,7.08229763200546,5.407762715750125,43.24625678898149,240193.57
4,25.236458597257087,2.0,525.0,882.0,29.51816258120914,1,4,1970,1970,0,16.049574940745757,11.204495012747543,43.24625678898149,170486.75
7,33.427590716975075,2.0,511.0,1405.0,39.937268240028786,2,5,1999,1999,0,7.08229763200546,5.407762715750125,14.923808477528233,241733.57
6,27.453835343173793,1.0,264.0,483.0,12.427772651098337,1,5,1971,1971,2,16.049574940745757,11.204495012747543,43.24625678898149,144002.75
5,29.43618592433263,1.0,320.0,525.0,15.407949248011587,1,6,1971,1971,2,16.049574940745757,11.204495012747543,43.24625678898149,153528.62
6,35.132994170654655,2.0,440.0,855.0,28.742950913286837,2,6,1975,1975,2,7.08229763200546,11.204495012747543,43.24625678898149,176305.55
7,24.169648275593225,1.0,308.0,836.0,28.181124634773703,1,4,1975,1975,2,16.049574940745757,5.407762715750125,43.24625678898149,203693.92666666664
9,45.06470446412147,3.0,751.0,1590.0,45.05926098048104,2,10,2009,2010,0,0.0,0.0,0.0,522433.97
8,36.31890512418143,3.0,868.0,1544.0,43.67277798758439,2,7,2009,2010,1,7.08229763200546,5.407762715750125,14.923808477528233,349577.05
9,38.26525602466346,3.0,730.0,1698.0,46.202600124647944,2,7,2005,2005,0,0.0,0.0,14.923808477528233,415328.01
